929,"Hayward Station","699 'B' Street, Hayward, CA 94541","North Berkeley Station","1750 Sacramento Street, Berkeley, CA 94702",22.38
930,"Hayward Station","699 'B' Street, Hayward, CA 94541","North ConcordMartinez Station","3700 Port Chicago Highway, Concord, CA 94520",35.87
931,"Hayward Station","699 'B' Street, Hayward, CA 94541","Orinda Station","11 Camino Pablo, Orinda, CA 94563",19.51
932,"Hayward Station","699 'B' Street, Hayward, CA 94541","PittsburgBay Point Station","1700 West Leland Road, Pittsburg, CA 94565",40.36
933,"Hayward Station","699 'B' Street, Hayward, CA 94541","Pleasant HillContra Costa Centre Station","1365 Treat Blvd., Walnut Creek, CA 94597",29.2
934,"Hayward Station","699 'B' Street, Hayward, CA 94541","Powell St. Station","899 Market Street, San Francisco, CA 94102",25.02
935,"Hayward Station","699 'B' Street, Hayward, CA 94541","Richmond Station","1700 Nevin Avenue, Richmond, CA 94801",26.95
936,"Hayward Station","699 'B' Street, Hayward, CA 94541","Rockridge Station","5660 College Avenue, Oakland, CA 94618",17.01
937,"Hayward Station","699 'B' Street, Hayward, CA 94541","San Bruno Station","1151 Huntington Avenue, San Bruno, CA 94066",25.49
938,"Hayward Station","699 'B' Street, Hayward, CA 94541","San Francisco Int'l Airport Station","International Terminal, Level 3, San Francisco Int'l Airport, CA 94128",26.1
939,"Hayward Station","699 'B' Street, Hayward, CA 94541","San Leandro Station","1401 San Leandro Blvd., San Leandro, CA 94577",7.5
940,"Hayward Station","699 'B' Street, Hayward, CA 94541","South Hayward Station","28601 Dixon Street, Hayward, CA 94544",3.35
941,"Hayward Station","699 'B' Street, Hayward, CA 94541","South San Francisco Station","1333 Mission Road, South San Francisco, CA 94080",27.59
942,"Hayward Station","699 'B' Street, Hayward, CA 94541","Union City Station","10 Union Square, Union City, CA 94587",8.58
943,"Hayward Station","699 'B' Street, Hayward, CA 94541","Walnut Creek Station","200 Ygnacio Valley Road, Walnut Creek, CA 94596",27.53
944,"Hayward Station","699 'B' Street, Hayward, CA 94541","West DublinPleasanton Station","6501 Golden Gate Drive, Dublin, CA 94568",10.7
945,"Hayward Station","699 'B' Street, Hayward, CA 94541","West Oakland Station","1451 7th Street, Oakland, CA 94607",16.86
946,"Lafayette Station","3601 Deer Hill Road, Lafayette, CA 94549","12th St. Oakland City Center Station","1245 Broadway, Oakland, CA 94612",13.16
947,"Lafayette Station","3601 Deer Hill Road, Lafayette, CA 94549","16th St. Mission Station","2000 Mission Street, San Francisco, CA 94110",21.89
948,"Lafayette Station","3601 Deer Hill Road, Lafayette, CA 94549","19th St. Oakland Station","1900 Broadway, Oakland, CA 94612",12.63
949,"Lafayette Station","3601 Deer Hill Road, Lafayette, CA 94549","24th St. Mission Station","2800 Mission Street, San Francisco, CA 94110",23.03
950,"Lafayette Station","3601 Deer Hill Road, Lafayette, CA 94549","Ashby Station","3100 Adeline Street, Berkeley, CA 94703",11.39
951,"Lafayette Station","3601 Deer Hill Road, Lafayette, CA 94549","Balboa Park Station","401 Geneva Avenue, San Francisco, CA 94112",25.64
952,"Lafayette Station","3601 Deer Hill Road, Lafayette, CA 94549","Bay Fair Station","15242 Hesperian Blvd., San Leandro, CA 94578",21.59
953,"Lafayette Station","3601 Deer Hill Road, Lafayette, CA 94549","Castro Valley Station","3301 Norbridge Dr., Castro Valley, CA 94546",23.8
954,"Lafayette Station","3601 Deer Hill Road, Lafayette, CA 94549","Civic CenterUN Plaza Station","1150 Market Street, San Francisco, CA 94102",20.6
955,"Lafayette Station","3601 Deer Hill Road, Lafayette, CA 94549","ColiseumOakland Airport Station","7200 San Leandro St., Oakland, CA 94621",19.33
956,"Lafayette Station","3601 Deer Hill Road, Lafayette, CA 94549","Colma Station","365 D Street, Colma, CA 94014",28.61
957,"Lafayette Station","3601 Deer Hill Road, Lafayette, CA 94549","Concord Station","1451 Oakland Avenue, Concord, CA 94520",9.79
958,"Lafayette Station","3601 Deer Hill Road, Lafayette, CA 94549","Daly City Station","500 John Daly Blvd., Daly City, CA 94014",27.68
959,"Lafayette Station","3601 Deer Hill Road, Lafayette, CA 94549","Downtown Berkeley Station","2160 Shattuck Avenue, Berkeley, CA 94704",12.36
960,"Lafayette Station","3601 Deer Hill Road, Lafayette, CA 94549","DublinPleasanton Station","5801 Owens Dr., Pleasanton, CA 94588",20.77
961,"Lafayette Station","3601 Deer Hill Road, Lafayette, CA 94549","El Cerrito del Norte Station","6400 Cutting Blvd., El Cerrito, CA 94530",19.91
962,"Lafayette Station","3601 Deer Hill Road, Lafayette, CA 94549","El Cerrito Plaza Station","6699 Fairmount Avenue, El Cerrito, CA 94530",18.6
963,"Lafayette Station","3601 Deer Hill Road, Lafayette, CA 94549","Embarcadero Station","298 Market Street, San Francisco, CA 94111",19.86
964,"Lafayette Station","3601 Deer Hill Road, Lafayette, CA 94549","Fremont Station","2000 BART Way, Fremont, CA 94536",36.33
965,"Lafayette Station","3601 Deer Hill Road, Lafayette, CA 94549","Fruitvale Station","3401 East 12th Street, Oakland, CA 94601",17.03
966,"Lafayette Station","3601 Deer Hill Road, Lafayette, CA 94549","Glen Park Station","2901 Diamond Street, San Francisco, CA 94131",24.77
967,"Lafayette Station","3601 Deer Hill Road, Lafayette, CA 94549","Hayward Station","699 'B' Street, Hayward, CA 94541",24.23
968,"Lafayette Station","3601 Deer Hill Road, Lafayette, CA 94549","Lake Merritt Station","800 Madison Street, Oakland, CA 94607",14.08
969,"Lafayette Station","3601 Deer Hill Road, Lafayette, CA 94549","MacArthur Station","555 40th Street, Oakland, CA 94609",11.03
970,"Lafayette Station","3601 Deer Hill Road, Lafayette, CA 94549","Millbrae Station","200 North Rollins Road, Millbrae, CA 94030",33.36
971,"Lafayette Station","3601 Deer Hill Road, Lafayette, CA 94549","Montgomery St. Station","598 Market Street, San Francisco, CA 94104",20.34
972,"Lafayette Station","3601 Deer Hill Road, Lafayette, CA 94549","North Berkeley Station","1750 Sacramento Street, Berkeley, CA 94702",16.89
973,"Lafayette Station","3601 Deer Hill Road, Lafayette, CA 94549","North ConcordMartinez Station","3700 Port Chicago Highway, Concord, CA 94520",12.26
974,"Lafayette Station","3601 Deer Hill Road, Lafayette, CA 94549","Orinda Station","11 Camino Pablo, Orinda, CA 94563",4.94
975,"Lafayette Station","3601 Deer Hill Road, Lafayette, CA 94549","PittsburgBay Point Station","1700 West Leland Road, Pittsburg, CA 94565",16.74
976,"Lafayette Station","3601 Deer Hill Road, Lafayette, CA 94549","Pleasant HillContra Costa Centre Station","1365 Treat Blvd., Walnut Creek, CA 94597",5.58
977,"Lafayette Station","3601 Deer Hill Road, Lafayette, CA 94549","Powell St. Station","899 Market Street, San Francisco, CA 94102",20.32
978,"Lafayette Station","3601 Deer Hill Road, Lafayette, CA 94549","Richmond Station","1700 Nevin Avenue, Richmond, CA 94801",21.47
979,"Lafayette Station","3601 Deer Hill Road, Lafayette, CA 94549","Rockridge Station","5660 College Avenue, Oakland, CA 94618",9.42
980,"Lafayette Station","3601 Deer Hill Road, Lafayette, CA 94549","San Bruno Station","1151 Huntington Avenue, San Bruno, CA 94066",31.93
981,"Lafayette Station","3601 Deer Hill Road, Lafayette, CA 94549","San Francisco Int'l Airport Station","International Terminal, Level 3, San Francisco Int'l Airport, CA 94128",32.83
982,"Lafayette Station","3601 Deer Hill Road, Lafayette, CA 94549","San Leandro Station","1401 San Leandro Blvd., San Leandro, CA 94577",22.46
983,"Lafayette Station","3601 Deer Hill Road, Lafayette, CA 94549","South Hayward Station","28601 Dixon Street, Hayward, CA 94544",31.24
984,"Lafayette Station","3601 Deer Hill Road, Lafayette, CA 94549","South San Francisco Station","1333 Mission Road, South San Francisco, CA 94080",31.26
985,"Lafayette Station","3601 Deer Hill Road, Lafayette, CA 94549","Union City Station","10 Union Square, Union City, CA 94587",34.61
986,"Lafayette Station","3601 Deer Hill Road, Lafayette, CA 94549","Walnut Creek Station","200 Ygnacio Valley Road, Walnut Creek, CA 94596",3.92
987,"Lafayette Station","3601 Deer Hill Road, Lafayette, CA 94549","West DublinPleasanton Station","6501 Golden Gate Drive, Dublin, CA 94568",19.31
988,"Lafayette Station","3601 Deer Hill Road, Lafayette, CA 94549","West Oakland Station","1451 7th Street, Oakland, CA 94607",14.14
989,"Lake Merritt Station","800 Madison Street, Oakland, CA 94607","12th St. Oakland City Center Station","1245 Broadway, Oakland, CA 94612",0.7
990,"Lake Merritt Station","800 Madison Street, Oakland, CA 94607","16th St. Mission Station","2000 Mission Street, San Francisco, CA 94110",12.7
991,"Lake Merritt Station","800 Madison Street, Oakland, CA 94607","19th St. Oakland Station","1900 Broadway, Oakland, CA 94612",1.06
992,"Lake Merritt Station","800 Madison Street, Oakland, CA 94607","24th St. Mission Station","2800 Mission Street, San Francisco, CA 94110",13.84
993,"Lake Merritt Station","800 Madison Street, Oakland, CA 94607","Ashby Station","3100 Adeline Street, Berkeley, CA 94703",4.85
994,"Lake Merritt Station","800 Madison Street, Oakland, CA 94607","Balboa Park Station","401 Geneva Avenue, San Francisco, CA 94112",16.44
995,"Lake Merritt Station","800 Madison Street, Oakland, CA 94607","Bay Fair Station","15242 Hesperian Blvd., San Leandro, CA 94578",12.14
996,"Lake Merritt Station","800 Madison Street, Oakland, CA 94607","Castro Valley Station","3301 Norbridge Dr., Castro Valley, CA 94546",14.39
997,"Lake Merritt Station","800 Madison Street, Oakland, CA 94607","Civic CenterUN Plaza Station","1150 Market Street, San Francisco, CA 94102",11.41
998,"Lake Merritt Station","800 Madison Street, Oakland, CA 94607","ColiseumOakland Airport Station","7200 San Leandro St., Oakland, CA 94621",5.67
999,"Lake Merritt Station","800 Madison Street, Oakland, CA 94607","Colma Station","365 D Street, Colma, CA 94014",19.42
1000,"Lake Merritt Station","800 Madison Street, Oakland, CA 94607","Concord Station","1451 Oakland Avenue, Concord, CA 94520",22.73
1001,"Lake Merritt Station","800 Madison Street, Oakland, CA 94607","Daly City Station","500 John Daly Blvd., Daly City, CA 94014",18.49
1002,"Lake Merritt Station","800 Madison Street, Oakland, CA 94607","Downtown Berkeley Station","2160 Shattuck Avenue, Berkeley, CA 94704",6.03
1003,"Lake Merritt Station","800 Madison Street, Oakland, CA 94607","DublinPleasanton Station","5801 Owens Dr., Pleasanton, CA 94588",24.34
1004,"Lake Merritt Station","800 Madison Street, Oakland, CA 94607","El Cerrito del Norte Station","6400 Cutting Blvd., El Cerrito, CA 94530",11.51
1005,"Lake Merritt Station","800 Madison Street, Oakland, CA 94607","El Cerrito Plaza Station","6699 Fairmount Avenue, El Cerrito, CA 94530",10.2
1006,"Lake Merritt Station","800 Madison Street, Oakland, CA 94607","Embarcadero Station","298 Market Street, San Francisco, CA 94111",10.67
1007,"Lake Merritt Station","800 Madison Street, Oakland, CA 94607","Fremont Station","2000 BART Way, Fremont, CA 94536",26.72
1008,"Lake Merritt Station","800 Madison Street, Oakland, CA 94607","Fruitvale Station","3401 East 12th Street, Oakland, CA 94601",3.38
1009,"Lake Merritt Station","800 Madison Street, Oakland, CA 94607","Glen Park Station","2901 Diamond Street, San Francisco, CA 94131",15.58
1010,"Lake Merritt Station","800 Madison Street, Oakland, CA 94607","Hayward Station","699 'B' Street, Hayward, CA 94541",14.24
1011,"Lake Merritt Station","800 Madison Street, Oakland, CA 94607","Lafayette Station","3601 Deer Hill Road, Lafayette, CA 94549",13.64
1012,"Lake Merritt Station","800 Madison Street, Oakland, CA 94607","MacArthur Station","555 40th Street, Oakland, CA 94609",3.19
1013,"Lake Merritt Station","800 Madison Street, Oakland, CA 94607","Millbrae Station","200 North Rollins Road, Millbrae, CA 94030",24.17
1014,"Lake Merritt Station","800 Madison Street, Oakland, CA 94607","Montgomery St. Station","598 Market Street, San Francisco, CA 94104",11.14
1015,"Lake Merritt Station","800 Madison Street, Oakland, CA 94607","North Berkeley Station","1750 Sacramento Street, Berkeley, CA 94702",8.49
1016,"Lake Merritt Station","800 Madison Street, Oakland, CA 94607","North ConcordMartinez Station","3700 Port Chicago Highway, Concord, CA 94520",25.19
1017,"Lake Merritt Station","800 Madison Street, Oakland, CA 94607","Orinda Station","11 Camino Pablo, Orinda, CA 94563",9.94
1018,"Lake Merritt Station","800 Madison Street, Oakland, CA 94607","PittsburgBay Point Station","1700 West Leland Road, Pittsburg, CA 94565",29.67
1019,"Lake Merritt Station","800 Madison Street, Oakland, CA 94607","Pleasant HillContra Costa Centre Station","1365 Treat Blvd., Walnut Creek, CA 94597",18.52
1020,"Lake Merritt Station","800 Madison Street, Oakland, CA 94607","Powell St. Station","899 Market Street, San Francisco, CA 94102",11.13
1021,"Lake Merritt Station","800 Madison Street, Oakland, CA 94607","Richmond Station","1700 Nevin Avenue, Richmond, CA 94801",13.07
1022,"Lake Merritt Station","800 Madison Street, Oakland, CA 94607","Rockridge Station","5660 College Avenue, Oakland, CA 94618",4.71
1023,"Lake Merritt Station","800 Madison Street, Oakland, CA 94607","San Bruno Station","1151 Huntington Avenue, San Bruno, CA 94066",22.74
1024,"Lake Merritt Station","800 Madison Street, Oakland, CA 94607","San Francisco Int'l Airport Station","International Terminal, Level 3, San Francisco Int'l Airport, CA 94128",23.64
1025,"Lake Merritt Station","800 Madison Street, Oakland, CA 94607","San Leandro Station","1401 San Leandro Blvd., San Leandro, CA 94577",8.81
1026,"Lake Merritt Station","800 Madison Street, Oakland, CA 94607","South Hayward Station","28601 Dixon Street, Hayward, CA 94544",17.58
1027,"Lake Merritt Station","800 Madison Street, Oakland, CA 94607","South San Francisco Station","1333 Mission Road, South San Francisco, CA 94080",22.07
1028,"Lake Merritt Station","800 Madison Street, Oakland, CA 94607","Union City Station","10 Union Square, Union City, CA 94587",20.96
1029,"Lake Merritt Station","800 Madison Street, Oakland, CA 94607","Walnut Creek Station","200 Ygnacio Valley Road, Walnut Creek, CA 94596",16.85
