Station Pair ID,From Name,From Address,To Name,To Address,Distance in Miles
26,"12th St. Oakland City Center Station","1245 Broadway, Oakland, CA 94612","North Berkeley Station","1750 Sacramento Street, Berkeley, CA 94702",7.55
27,"12th St. Oakland City Center Station","1245 Broadway, Oakland, CA 94612","North ConcordMartinez Station","3700 Port Chicago Highway, Concord, CA 94520",24.38
28,"12th St. Oakland City Center Station","1245 Broadway, Oakland, CA 94612","Orinda Station","11 Camino Pablo, Orinda, CA 94563",9.13
29,"12th St. Oakland City Center Station","1245 Broadway, Oakland, CA 94612","PittsburgBay Point Station","1700 West Leland Road, Pittsburg, CA 94565",28.87
30,"12th St. Oakland City Center Station","1245 Broadway, Oakland, CA 94612","Pleasant HillContra Costa Centre Station","1365 Treat Blvd., Walnut Creek, CA 94597",17.71
31,"12th St. Oakland City Center Station","1245 Broadway, Oakland, CA 94612","Powell St. Station","899 Market Street, San Francisco, CA 94102",10.98
32,"12th St. Oakland City Center Station","1245 Broadway, Oakland, CA 94612","Richmond Station","1700 Nevin Avenue, Richmond, CA 94801",12.12
33,"12th St. Oakland City Center Station","1245 Broadway, Oakland, CA 94612","Rockridge Station","5660 College Avenue, Oakland, CA 94618",3.9
34,"12th St. Oakland City Center Station","1245 Broadway, Oakland, CA 94612","San Bruno Station","1151 Huntington Avenue, San Bruno, CA 94066",22.59
35,"12th St. Oakland City Center Station","1245 Broadway, Oakland, CA 94612","San Francisco Int'l Airport Station","International Terminal, Level 3, San Francisco Int'l Airport, CA 94128",23.49
36,"12th St. Oakland City Center Station","1245 Broadway, Oakland, CA 94612","San Leandro Station","1401 San Leandro Blvd., San Leandro, CA 94577",9.47
37,"12th St. Oakland City Center Station","1245 Broadway, Oakland, CA 94612","South Hayward Station","28601 Dixon Street, Hayward, CA 94544",18.25
38,"12th St. Oakland City Center Station","1245 Broadway, Oakland, CA 94612","South San Francisco Station","1333 Mission Road, South San Francisco, CA 94080",21.92
39,"12th St. Oakland City Center Station","1245 Broadway, Oakland, CA 94612","Union City Station","10 Union Square, Union City, CA 94587",21.63
40,"12th St. Oakland City Center Station","1245 Broadway, Oakland, CA 94612","Walnut Creek Station","200 Ygnacio Valley Road, Walnut Creek, CA 94596",16.05
41,"12th St. Oakland City Center Station","1245 Broadway, Oakland, CA 94612","West DublinPleasanton Station","6501 Golden Gate Drive, Dublin, CA 94568",26.43
42,"12th St. Oakland City Center Station","1245 Broadway, Oakland, CA 94612","West Oakland Station","1451 7th Street, Oakland, CA 94607",1.9
43,"16th St. Mission Station","2000 Mission Street, San Francisco, CA 94110","12th St. Oakland City Center Station","1245 Broadway, Oakland, CA 94612",12.41
44,"16th St. Mission Station","2000 Mission Street, San Francisco, CA 94110","19th St. Oakland Station","1900 Broadway, Oakland, CA 94612",11.88
45,"16th St. Mission Station","2000 Mission Street, San Francisco, CA 94110","24th St. Mission Station","2800 Mission Street, San Francisco, CA 94110",0.89
46,"16th St. Mission Station","2000 Mission Street, San Francisco, CA 94110","Ashby Station","3100 Adeline Street, Berkeley, CA 94703",12.3
47,"16th St. Mission Station","2000 Mission Street, San Francisco, CA 94110","Balboa Park Station","401 Geneva Avenue, San Francisco, CA 94112",3.97
48,"16th St. Mission Station","2000 Mission Street, San Francisco, CA 94110","Bay Fair Station","15242 Hesperian Blvd., San Leandro, CA 94578",24.34
49,"16th St. Mission Station","2000 Mission Street, San Francisco, CA 94110","Castro Valley Station","3301 Norbridge Dr., Castro Valley, CA 94546",26.55
50,"16th St. Mission Station","2000 Mission Street, San Francisco, CA 94110","Civic CenterUN Plaza Station","1150 Market Street, San Francisco, CA 94102",1.37
51,"16th St. Mission Station","2000 Mission Street, San Francisco, CA 94110","ColiseumOakland Airport Station","7200 San Leandro St., Oakland, CA 94621",17.94
52,"16th St. Mission Station","2000 Mission Street, San Francisco, CA 94110","Colma Station","365 D Street, Colma, CA 94014",6.95
53,"16th St. Mission Station","2000 Mission Street, San Francisco, CA 94110","Concord Station","1451 Oakland Avenue, Concord, CA 94520",30.68
54,"16th St. Mission Station","2000 Mission Street, San Francisco, CA 94110","Daly City Station","500 John Daly Blvd., Daly City, CA 94014",6.01
55,"16th St. Mission Station","2000 Mission Street, San Francisco, CA 94110","Downtown Berkeley Station","2160 Shattuck Avenue, Berkeley, CA 94704",13.99
56,"16th St. Mission Station","2000 Mission Street, San Francisco, CA 94110","DublinPleasanton Station","5801 Owens Dr., Pleasanton, CA 94588",36.5
57,"16th St. Mission Station","2000 Mission Street, San Francisco, CA 94110","El Cerrito del Norte Station","6400 Cutting Blvd., El Cerrito, CA 94530",16.53
58,"16th St. Mission Station","2000 Mission Street, San Francisco, CA 94110","El Cerrito Plaza Station","6699 Fairmount Avenue, El Cerrito, CA 94530",15.21
59,"16th St. Mission Station","2000 Mission Street, San Francisco, CA 94110","Embarcadero Station","298 Market Street, San Francisco, CA 94111",2.59
60,"16th St. Mission Station","2000 Mission Street, San Francisco, CA 94110","Fremont Station","2000 BART Way, Fremont, CA 94536",38.99
61,"16th St. Mission Station","2000 Mission Street, San Francisco, CA 94110","Fruitvale Station","3401 East 12th Street, Oakland, CA 94601",15.65
62,"16th St. Mission Station","2000 Mission Street, San Francisco, CA 94110","Glen Park Station","2901 Diamond Street, San Francisco, CA 94131",2.84
63,"16th St. Mission Station","2000 Mission Street, San Francisco, CA 94110","Hayward Station","699 'B' Street, Hayward, CA 94541",26.51
64,"16th St. Mission Station","2000 Mission Street, San Francisco, CA 94110","Lafayette Station","3601 Deer Hill Road, Lafayette, CA 94549",21.6
65,"16th St. Mission Station","2000 Mission Street, San Francisco, CA 94110","Lake Merritt Station","800 Madison Street, Oakland, CA 94607",13.33
66,"16th St. Mission Station","2000 Mission Street, San Francisco, CA 94110","MacArthur Station","555 40th Street, Oakland, CA 94609",10.94
67,"16th St. Mission Station","2000 Mission Street, San Francisco, CA 94110","Millbrae Station","200 North Rollins Road, Millbrae, CA 94030",14.08
68,"16th St. Mission Station","2000 Mission Street, San Francisco, CA 94110","Montgomery St. Station","598 Market Street, San Francisco, CA 94104",3.19
69,"16th St. Mission Station","2000 Mission Street, San Francisco, CA 94110","North Berkeley Station","1750 Sacramento Street, Berkeley, CA 94702",13.5
70,"16th St. Mission Station","2000 Mission Street, San Francisco, CA 94110","North ConcordMartinez Station","3700 Port Chicago Highway, Concord, CA 94520",33.15
71,"16th St. Mission Station","2000 Mission Street, San Francisco, CA 94110","Orinda Station","11 Camino Pablo, Orinda, CA 94563",17.89
72,"16th St. Mission Station","2000 Mission Street, San Francisco, CA 94110","PittsburgBay Point Station","1700 West Leland Road, Pittsburg, CA 94565",37.63
73,"16th St. Mission Station","2000 Mission Street, San Francisco, CA 94110","Pleasant HillContra Costa Centre Station","1365 Treat Blvd., Walnut Creek, CA 94597",26.47
74,"16th St. Mission Station","2000 Mission Street, San Francisco, CA 94110","Powell St. Station","899 Market Street, San Francisco, CA 94102",1.81
75,"16th St. Mission Station","2000 Mission Street, San Francisco, CA 94110","Richmond Station","1700 Nevin Avenue, Richmond, CA 94801",18.08
76,"16th St. Mission Station","2000 Mission Street, San Francisco, CA 94110","Rockridge Station","5660 College Avenue, Oakland, CA 94618",12.66
77,"16th St. Mission Station","2000 Mission Street, San Francisco, CA 94110","San Bruno Station","1151 Huntington Avenue, San Bruno, CA 94066",12.65
78,"16th St. Mission Station","2000 Mission Street, San Francisco, CA 94110","San Francisco Int'l Airport Station","International Terminal, Level 3, San Francisco Int'l Airport, CA 94128",13.55
79,"16th St. Mission Station","2000 Mission Street, San Francisco, CA 94110","San Leandro Station","1401 San Leandro Blvd., San Leandro, CA 94577",21.08
80,"16th St. Mission Station","2000 Mission Street, San Francisco, CA 94110","South Hayward Station","28601 Dixon Street, Hayward, CA 94544",29.85
81,"16th St. Mission Station","2000 Mission Street, San Francisco, CA 94110","South San Francisco Station","1333 Mission Road, South San Francisco, CA 94080",11.98
82,"16th St. Mission Station","2000 Mission Street, San Francisco, CA 94110","Union City Station","10 Union Square, Union City, CA 94587",33.23
83,"16th St. Mission Station","2000 Mission Street, San Francisco, CA 94110","Walnut Creek Station","200 Ygnacio Valley Road, Walnut Creek, CA 94596",24.81
84,"16th St. Mission Station","2000 Mission Street, San Francisco, CA 94110","West DublinPleasanton Station","6501 Golden Gate Drive, Dublin, CA 94568",35.31
85,"16th St. Mission Station","2000 Mission Street, San Francisco, CA 94110","West Oakland Station","1451 7th Street, Oakland, CA 94607",10.77
86,"19th St. Oakland Station","1900 Broadway, Oakland, CA 94612","12th St. Oakland City Center Station","1245 Broadway, Oakland, CA 94612",0.36
87,"19th St. Oakland Station","1900 Broadway, Oakland, CA 94612","16th St. Mission Station","2000 Mission Street, San Francisco, CA 94110",12.08
88,"19th St. Oakland Station","1900 Broadway, Oakland, CA 94612","24th St. Mission Station","2800 Mission Street, San Francisco, CA 94110",13.22
89,"19th St. Oakland Station","1900 Broadway, Oakland, CA 94612","Ashby Station","3100 Adeline Street, Berkeley, CA 94703",3.57
90,"19th St. Oakland Station","1900 Broadway, Oakland, CA 94612","Balboa Park Station","401 Geneva Avenue, San Francisco, CA 94112",15.83
91,"19th St. Oakland Station","1900 Broadway, Oakland, CA 94612","Bay Fair Station","15242 Hesperian Blvd., San Leandro, CA 94578",13.16
92,"19th St. Oakland Station","1900 Broadway, Oakland, CA 94612","Castro Valley Station","3301 Norbridge Dr., Castro Valley, CA 94546",16.27
93,"19th St. Oakland Station","1900 Broadway, Oakland, CA 94612","Civic CenterUN Plaza Station","1150 Market Street, San Francisco, CA 94102",10.79
94,"19th St. Oakland Station","1900 Broadway, Oakland, CA 94612","ColiseumOakland Airport Station","7200 San Leandro St., Oakland, CA 94621",6.7
95,"19th St. Oakland Station","1900 Broadway, Oakland, CA 94612","Colma Station","365 D Street, Colma, CA 94014",18.8
96,"19th St. Oakland Station","1900 Broadway, Oakland, CA 94612","Concord Station","1451 Oakland Avenue, Concord, CA 94520",21.46
97,"19th St. Oakland Station","1900 Broadway, Oakland, CA 94612","Daly City Station","500 John Daly Blvd., Daly City, CA 94014",17.87
98,"19th St. Oakland Station","1900 Broadway, Oakland, CA 94612","Downtown Berkeley Station","2160 Shattuck Avenue, Berkeley, CA 94704",4.76
99,"19th St. Oakland Station","1900 Broadway, Oakland, CA 94612","DublinPleasanton Station","5801 Owens Dr., Pleasanton, CA 94588",26.23
100,"19th St. Oakland Station","1900 Broadway, Oakland, CA 94612","El Cerrito del Norte Station","6400 Cutting Blvd., El Cerrito, CA 94530",10.1
101,"19th St. Oakland Station","1900 Broadway, Oakland, CA 94612","El Cerrito Plaza Station","6699 Fairmount Avenue, El Cerrito, CA 94530",8.79
102,"19th St. Oakland Station","1900 Broadway, Oakland, CA 94612","Embarcadero Station","298 Market Street, San Francisco, CA 94111",10.05
103,"19th St. Oakland Station","1900 Broadway, Oakland, CA 94612","Fremont Station","2000 BART Way, Fremont, CA 94536",27.74
104,"19th St. Oakland Station","1900 Broadway, Oakland, CA 94612","Fruitvale Station","3401 East 12th Street, Oakland, CA 94601",4.4
105,"19th St. Oakland Station","1900 Broadway, Oakland, CA 94612","Glen Park Station","2901 Diamond Street, San Francisco, CA 94131",14.96
106,"19th St. Oakland Station","1900 Broadway, Oakland, CA 94612","Hayward Station","699 'B' Street, Hayward, CA 94541",15.26
107,"19th St. Oakland Station","1900 Broadway, Oakland, CA 94612","Lafayette Station","3601 Deer Hill Road, Lafayette, CA 94549",12.37
108,"19th St. Oakland Station","1900 Broadway, Oakland, CA 94612","Lake Merritt Station","800 Madison Street, Oakland, CA 94607",1.01
109,"19th St. Oakland Station","1900 Broadway, Oakland, CA 94612","MacArthur Station","555 40th Street, Oakland, CA 94609",1.92
110,"19th St. Oakland Station","1900 Broadway, Oakland, CA 94612","Millbrae Station","200 North Rollins Road, Millbrae, CA 94030",23.55
111,"19th St. Oakland Station","1900 Broadway, Oakland, CA 94612","Montgomery St. Station","598 Market Street, San Francisco, CA 94104",10.52
112,"19th St. Oakland Station","1900 Broadway, Oakland, CA 94612","North Berkeley Station","1750 Sacramento Street, Berkeley, CA 94702",7.08
113,"19th St. Oakland Station","1900 Broadway, Oakland, CA 94612","North ConcordMartinez Station","3700 Port Chicago Highway, Concord, CA 94520",23.92
114,"19th St. Oakland Station","1900 Broadway, Oakland, CA 94612","Orinda Station","11 Camino Pablo, Orinda, CA 94563",8.67
115,"19th St. Oakland Station","1900 Broadway, Oakland, CA 94612","PittsburgBay Point Station","1700 West Leland Road, Pittsburg, CA 94565",28.4
116,"19th St. Oakland Station","1900 Broadway, Oakland, CA 94612","Pleasant HillContra Costa Centre Station","1365 Treat Blvd., Walnut Creek, CA 94597",17.25
117,"19th St. Oakland Station","1900 Broadway, Oakland, CA 94612","Powell St. Station","899 Market Street, San Francisco, CA 94102",10.51
118,"19th St. Oakland Station","1900 Broadway, Oakland, CA 94612","Richmond Station","1700 Nevin Avenue, Richmond, CA 94801",11.66
119,"19th St. Oakland Station","1900 Broadway, Oakland, CA 94612","Rockridge Station","5660 College Avenue, Oakland, CA 94618",2.79
120,"19th St. Oakland Station","1900 Broadway, Oakland, CA 94612","San Bruno Station","1151 Huntington Avenue, San Bruno, CA 94066",22.12
121,"19th St. Oakland Station","1900 Broadway, Oakland, CA 94612","San Francisco Int'l Airport Station","International Terminal, Level 3, San Francisco Int'l Airport, CA 94128",23.02
122,"19th St. Oakland Station","1900 Broadway, Oakland, CA 94612","San Leandro Station","1401 San Leandro Blvd., San Leandro, CA 94577",9.83
123,"19th St. Oakland Station","1900 Broadway, Oakland, CA 94612","South Hayward Station","28601 Dixon Street, Hayward, CA 94544",18.6
124,"19th St. Oakland Station","1900 Broadway, Oakland, CA 94612","South San Francisco Station","1333 Mission Road, South San Francisco, CA 94080",21.45
125,"19th St. Oakland Station","1900 Broadway, Oakland, CA 94612","Union City Station","10 Union Square, Union City, CA 94587",21.98
126,"19th St. Oakland Station","1900 Broadway, Oakland, CA 94612","Walnut Creek Station","200 Ygnacio Valley Road, Walnut Creek, CA 94596",15.58
127,"19th St. Oakland Station","1900 Broadway, Oakland, CA 94612","West DublinPleasanton Station","6501 Golden Gate Drive, Dublin, CA 94568",25.04
128,"19th St. Oakland Station","1900 Broadway, Oakland, CA 94612","West Oakland Station","1451 7th Street, Oakland, CA 94607",2.11
129,"24th St. Mission Station","2800 Mission Street, San Francisco, CA 94110","12th St. Oakland City Center Station","1245 Broadway, Oakland, CA 94612",13.29
130,"24th St. Mission Station","2800 Mission Street, San Francisco, CA 94110","16th St. Mission Station","2000 Mission Street, San Francisco, CA 94110",0.89
131,"24th St. Mission Station","2800 Mission Street, San Francisco, CA 94110","19th St. Oakland Station","1900 Broadway, Oakland, CA 94612",12.76
132,"24th St. Mission Station","2800 Mission Street, San Francisco, CA 94110","Ashby Station","3100 Adeline Street, Berkeley, CA 94703",13.19
133,"24th St. Mission Station","2800 Mission Street, San Francisco, CA 94110","Balboa Park Station","401 Geneva Avenue, San Francisco, CA 94112",3.08
134,"24th St. Mission Station","2800 Mission Street, San Francisco, CA 94110","Bay Fair Station","15242 Hesperian Blvd., San Leandro, CA 94578",25.23
135,"24th St. Mission Station","2800 Mission Street, San Francisco, CA 94110","Castro Valley Station","3301 Norbridge Dr., Castro Valley, CA 94546",27.44
136,"24th St. Mission Station","2800 Mission Street, San Francisco, CA 94110","Civic CenterUN Plaza Station","1150 Market Street, San Francisco, CA 94102",2.43
137,"24th St. Mission Station","2800 Mission Street, San Francisco, CA 94110","ColiseumOakland Airport Station","7200 San Leandro St., Oakland, CA 94621",18.83
138,"24th St. Mission Station","2800 Mission Street, San Francisco, CA 94110","Colma Station","365 D Street, Colma, CA 94014",6.06
139,"24th St. Mission Station","2800 Mission Street, San Francisco, CA 94110","Concord Station","1451 Oakland Avenue, Concord, CA 94520",31.57
140,"24th St. Mission Station","2800 Mission Street, San Francisco, CA 94110","Daly City Station","500 John Daly Blvd., Daly City, CA 94014",5.13
141,"24th St. Mission Station","2800 Mission Street, San Francisco, CA 94110","Downtown Berkeley Station","2160 Shattuck Avenue, Berkeley, CA 94704",14.88
142,"24th St. Mission Station","2800 Mission Street, San Francisco, CA 94110","DublinPleasanton Station","5801 Owens Dr., Pleasanton, CA 94588",37.39
143,"24th St. Mission Station","2800 Mission Street, San Francisco, CA 94110","El Cerrito del Norte Station","6400 Cutting Blvd., El Cerrito, CA 94530",17.41
144,"24th St. Mission Station","2800 Mission Street, San Francisco, CA 94110","El Cerrito Plaza Station","6699 Fairmount Avenue, El Cerrito, CA 94530",16.1
145,"24th St. Mission Station","2800 Mission Street, San Francisco, CA 94110","Embarcadero Station","298 Market Street, San Francisco, CA 94111",3.48
146,"24th St. Mission Station","2800 Mission Street, San Francisco, CA 94110","Fremont Station","2000 BART Way, Fremont, CA 94536",43.19
147,"24th St. Mission Station","2800 Mission Street, San Francisco, CA 94110","Fruitvale Station","3401 East 12th Street, Oakland, CA 94601",16.53
148,"24th St. Mission Station","2800 Mission Street, San Francisco, CA 94110","Glen Park Station","2901 Diamond Street, San Francisco, CA 94131",1.96
149,"24th St. Mission Station","2800 Mission Street, San Francisco, CA 94110","Hayward Station","699 'B' Street, Hayward, CA 94541",27.39
150,"24th St. Mission Station","2800 Mission Street, San Francisco, CA 94110","Lafayette Station","3601 Deer Hill Road, Lafayette, CA 94549",22.49
151,"24th St. Mission Station","2800 Mission Street, San Francisco, CA 94110","Lake Merritt Station","800 Madison Street, Oakland, CA 94607",14.21
152,"24th St. Mission Station","2800 Mission Street, San Francisco, CA 94110","MacArthur Station","555 40th Street, Oakland, CA 94609",11.82
153,"24th St. Mission Station","2800 Mission Street, San Francisco, CA 94110","Millbrae Station","200 North Rollins Road, Millbrae, CA 94030",12.37
154,"24th St. Mission Station","2800 Mission Street, San Francisco, CA 94110","Montgomery St. Station","598 Market Street, San Francisco, CA 94104",4.07
155,"24th St. Mission Station","2800 Mission Street, San Francisco, CA 94110","North Berkeley Station","1750 Sacramento Street, Berkeley, CA 94702",14.39
156,"24th St. Mission Station","2800 Mission Street, San Francisco, CA 94110","North ConcordMartinez Station","3700 Port Chicago Highway, Concord, CA 94520",34.03
157,"24th St. Mission Station","2800 Mission Street, San Francisco, CA 94110","Orinda Station","11 Camino Pablo, Orinda, CA 94563",18.78
158,"24th St. Mission Station","2800 Mission Street, San Francisco, CA 94110","PittsburgBay Point Station","1700 West Leland Road, Pittsburg, CA 94565",38.52
159,"24th St. Mission Station","2800 Mission Street, San Francisco, CA 94110","Pleasant HillContra Costa Centre Station","1365 Treat Blvd., Walnut Creek, CA 94597",27.36
160,"24th St. Mission Station","2800 Mission Street, San Francisco, CA 94110","Powell St. Station","899 Market Street, San Francisco, CA 94102",2.87
161,"24th St. Mission Station","2800 Mission Street, San Francisco, CA 94110","Richmond Station","1700 Nevin Avenue, Richmond, CA 94801",18.97
162,"24th St. Mission Station","2800 Mission Street, San Francisco, CA 94110","Rockridge Station","5660 College Avenue, Oakland, CA 94618",13.55
163,"24th St. Mission Station","2800 Mission Street, San Francisco, CA 94110","San Bruno Station","1151 Huntington Avenue, San Bruno, CA 94066",10.94
164,"24th St. Mission Station","2800 Mission Street, San Francisco, CA 94110","San Francisco Int'l Airport Station","International Terminal, Level 3, San Francisco Int'l Airport, CA 94128",11.84
165,"24th St. Mission Station","2800 Mission Street, San Francisco, CA 94110","San Leandro Station","1401 San Leandro Blvd., San Leandro, CA 94577",21.96
166,"24th St. Mission Station","2800 Mission Street, San Francisco, CA 94110","South Hayward Station","28601 Dixon Street, Hayward, CA 94544",34.05
167,"24th St. Mission Station","2800 Mission Street, San Francisco, CA 94110","South San Francisco Station","1333 Mission Road, South San Francisco, CA 94080",8.04
168,"24th St. Mission Station","2800 Mission Street, San Francisco, CA 94110","Union City Station","10 Union Square, Union City, CA 94587",37.43
169,"24th St. Mission Station","2800 Mission Street, San Francisco, CA 94110","Walnut Creek Station","200 Ygnacio Valley Road, Walnut Creek, CA 94596",25.7
170,"24th St. Mission Station","2800 Mission Street, San Francisco, CA 94110","West DublinPleasanton Station","6501 Golden Gate Drive, Dublin, CA 94568",36.2
171,"24th St. Mission Station","2800 Mission Street, San Francisco, CA 94110","West Oakland Station","1451 7th Street, Oakland, CA 94607",11.66
172,"Ashby Station","3100 Adeline Street, Berkeley, CA 94703","12th St. Oakland City Center Station","1245 Broadway, Oakland, CA 94612",3.94
173,"Ashby Station","3100 Adeline Street, Berkeley, CA 94703","16th St. Mission Station","2000 Mission Street, San Francisco, CA 94110",12.67
174,"Ashby Station","3100 Adeline Street, Berkeley, CA 94703","19th St. Oakland Station","1900 Broadway, Oakland, CA 94612",3.41
175,"Ashby Station","3100 Adeline Street, Berkeley, CA 94703","24th St. Mission Station","2800 Mission Street, San Francisco, CA 94110",13.81
176,"Ashby Station","3100 Adeline Street, Berkeley, CA 94703","Balboa Park Station","401 Geneva Avenue, San Francisco, CA 94112",16.42
177,"Ashby Station","3100 Adeline Street, Berkeley, CA 94703","Bay Fair Station","15242 Hesperian Blvd., San Leandro, CA 94578",15.78
178,"Ashby Station","3100 Adeline Street, Berkeley, CA 94703","Castro Valley Station","3301 Norbridge Dr., Castro Valley, CA 94546",17.99
179,"Ashby Station","3100 Adeline Street, Berkeley, CA 94703","Civic CenterUN Plaza Station","1150 Market Street, San Francisco, CA 94102",11.38
180,"Ashby Station","3100 Adeline Street, Berkeley, CA 94703","ColiseumOakland Airport Station","7200 San Leandro St., Oakland, CA 94621",10.11
181,"Ashby Station","3100 Adeline Street, Berkeley, CA 94703","Colma Station","365 D Street, Colma, CA 94014",19.39
182,"Ashby Station","3100 Adeline Street, Berkeley, CA 94703","Concord Station","1451 Oakland Avenue, Concord, CA 94520",20.2
183,"Ashby Station","3100 Adeline Street, Berkeley, CA 94703","Daly City Station","500 John Daly Blvd., Daly City, CA 94014",18.46
184,"Ashby Station","3100 Adeline Street, Berkeley, CA 94703","Downtown Berkeley Station","2160 Shattuck Avenue, Berkeley, CA 94704",1.67
185,"Ashby Station","3100 Adeline Street, Berkeley, CA 94703","DublinPleasanton Station","5801 Owens Dr., Pleasanton, CA 94588",27.94
186,"Ashby Station","3100 Adeline Street, Berkeley, CA 94703","El Cerrito del Norte Station","6400 Cutting Blvd., El Cerrito, CA 94530",7.74
187,"Ashby Station","3100 Adeline Street, Berkeley, CA 94703","El Cerrito Plaza Station","6699 Fairmount Avenue, El Cerrito, CA 94530",6.43
188,"Ashby Station","3100 Adeline Street, Berkeley, CA 94703","Embarcadero Station","298 Market Street, San Francisco, CA 94111",10.64
189,"Ashby Station","3100 Adeline Street, Berkeley, CA 94703","Fremont Station","2000 BART Way, Fremont, CA 94536",31.16
190,"Ashby Station","3100 Adeline Street, Berkeley, CA 94703","Fruitvale Station","3401 East 12th Street, Oakland, CA 94601",7.81
191,"Ashby Station","3100 Adeline Street, Berkeley, CA 94703","Glen Park Station","2901 Diamond Street, San Francisco, CA 94131",15.55
192,"Ashby Station","3100 Adeline Street, Berkeley, CA 94703","Hayward Station","699 'B' Street, Hayward, CA 94541",18.42
193,"Ashby Station","3100 Adeline Street, Berkeley, CA 94703","Lafayette Station","3601 Deer Hill Road, Lafayette, CA 94549",11.11
194,"Ashby Station","3100 Adeline Street, Berkeley, CA 94703","Lake Merritt Station","800 Madison Street, Oakland, CA 94607",4.86
195,"Ashby Station","3100 Adeline Street, Berkeley, CA 94703","MacArthur Station","555 40th Street, Oakland, CA 94609",1.87
196,"Ashby Station","3100 Adeline Street, Berkeley, CA 94703","Millbrae Station","200 North Rollins Road, Millbrae, CA 94030",24.14
197,"Ashby Station","3100 Adeline Street, Berkeley, CA 94703","Montgomery St. Station","598 Market Street, San Francisco, CA 94104",11.12
198,"Ashby Station","3100 Adeline Street, Berkeley, CA 94703","North Berkeley Station","1750 Sacramento Street, Berkeley, CA 94702",2.35
199,"Ashby Station","3100 Adeline Street, Berkeley, CA 94703","North ConcordMartinez Station","3700 Port Chicago Highway, Concord, CA 94520",22.66
